City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Vila Franca Do Campo,PT,79.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
12,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
27,Ca Mau,VN,79.27,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
33,Siemiatycze,PL,81.23,overcast clouds,52.4272,22.8623,Hotel Kresowiak Siemiatycze
34,Samarai,PG,78.37,overcast clouds,-10.6167,150.6667,Nuli Sapi
38,Yokadouma,CM,78.98,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
41,Altamira,BR,84.29,broken clouds,-3.2033,-52.2064,Requinte Hotel
46,Colares,PT,87.1,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
48,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
49,Ellisras,ZA,83.46,clear sky,-23.6649,27.7443,Lapa le le guesthouse
50,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
58,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
64,Sampit,ID,79.11,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
66,Butaritari,KI,81.32,light rain,3.0707,172.7902,Isles Sunset Lodge
67,Bardiyah,LY,84.38,clear sky,31.7561,25.0865,بورتو بردية
68,Piacabucu,BR,81.54,few clouds,-10.4056,-36.4344,Piaçabuçu News
69,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
71,Sibolga,ID,78.19,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
79,Amuntai,ID,79.41,overcast clouds,-2.4177,115.2494,Hotel Balqis
81,Katsuura,JP,81.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
82,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
84,Teknaf,BD,79.3,overcast clouds,20.8624,92.3058,Forestry Guesthouse
87,Zheleznodorozhnyy,RU,82.22,overcast clouds,55.7503,38.0042,Hotel Dali
88,Sur,OM,87.19,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
89,Cayenne,GF,89.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
92,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
93,Bengkulu,ID,76.93,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
98,Qui Nhon,VN,81.41,overcast clouds,13.7667,109.2333,Seagull Hotel
100,Boffa,GN,78.51,moderate rain,10.1667,-14.0333,Hôtel Niara Belly
105,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
107,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
108,Tsabong,BW,78.49,clear sky,-26.0217,22.401,Springbok Motel
109,Omboue,GA,78.22,broken clouds,-1.5746,9.2618,Hotel Olako
112,Palmer,US,75.67,scattered clouds,42.1584,-72.3287,Wedgewood Motel
114,Vilhena,BR,75.42,clear sky,-12.7406,-60.1458,Hotel Mirage
116,Ampanihy,MG,82.71,clear sky,-24.7,44.75,Angora Hotel
117,Tual,ID,80.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
120,Kigoma,TZ,80.74,clear sky,-4.8769,29.6267,MJI Mwema Lodge
121,Touba,CI,81.84,light rain,8.2833,-7.6833,Hotel de L'Amitié Vraie
125,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
135,Phan Thiet,VN,79.07,broken clouds,10.9333,108.1,Hotel Saigon-PT
136,Acapulco,MX,78.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
139,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
140,Richards Bay,ZA,88.14,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
141,Mayo,US,78.17,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
144,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
149,Canutama,BR,88.43,clear sky,-6.5339,-64.3831,Hotel Jhennifer
150,Wukari,NG,78.22,light rain,7.85,9.7833,Elimtop
151,Tura,IN,77.11,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
155,Itaituba,BR,84.36,scattered clouds,-4.2761,-55.9836,Hotel Campos
157,Nishihara,JP,85.28,clear sky,26.1842,127.7558,Minshuku Agaihama
160,Lebork,PL,85.91,clear sky,54.5392,17.7501,Vega
162,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
168,Atuona,PF,76.41,overcast clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
169,Khust,UA,84.65,broken clouds,48.1793,23.2991,Karpaty Hotel
170,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
174,Mantena,BR,77.79,scattered clouds,-18.7817,-40.9803,Hotel Estrela De Minas
177,Ponta Delgada,PT,79.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
178,Kismayo,SO,77.52,broken clouds,-0.3582,42.5454,Agan-Hotel
187,Tabuk,PH,75.43,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
188,Den Helder,NL,89.98,clear sky,52.9599,4.7593,Hotel Den Helder
189,Korla,CN,84.99,overcast clouds,41.7597,86.1469,Gulisitan Hotel
192,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
195,Abha,SA,76.82,broken clouds,18.2164,42.5053,Abha Hotel
196,Umm Lajj,SA,89.37,overcast clouds,25.0213,37.2685,Moon light Furnished Units
197,Kyaikto,MM,76.12,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
201,Nova Odesa,UA,87.03,overcast clouds,47.3078,31.7851,У Саши
202,Goiania,BR,80.29,clear sky,-16.6786,-49.2539,San Marino Suite Hotel Goiânia
204,Kahului,US,77.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
205,Nouadhibou,MR,78.78,broken clouds,20.931,-17.0347,El Medina
210,Kavieng,PG,81.05,broken clouds,-2.5744,150.7967,Nusa Island Retreat
214,Santo Domingo,DO,84.04,few clouds,18.5001,-69.9886,Cabañas City Heart
215,Faanui,PF,78.62,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Nikolskoye,RU,79.88,clear sky,59.7035,30.7861,Tourist House - Sablino
222,Lyantonde,UG,79.43,broken clouds,-0.4031,31.1572,Novella Hotel & Spa
223,Kandrian,PG,75.61,light rain,-6.2167,149.55,Kandrian Station
227,Samana,DO,84.16,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
230,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
233,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
235,Tortoli,IT,89.42,scattered clouds,39.9256,9.6572,Hotel La Bitta
238,Isfana,KG,75.76,clear sky,39.8386,69.5306,Sayakat
240,Kastamonu,TR,75.85,few clouds,41.5,33.6667,Kasaba Orencik Koyu Muhtarligi
241,Honiara,SB,76.05,broken clouds,-9.4333,159.95,Heritage Park Hotel
242,Kampli,IN,78.06,scattered clouds,15.4,76.6167,Government Hostel Kampli
245,Khash,IR,85.53,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
246,Menongue,AO,86.74,broken clouds,-14.6585,17.691,Ritz Lauca
247,Salinopolis,BR,84.22,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
250,San Patricio,US,87.67,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
252,Kuito,AO,80.78,broken clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
254,Ponta Do Sol,PT,79.0,scattered clouds,32.6667,-17.1,Hotel do Campo
256,Ormara,PK,84.78,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
257,Muroto,JP,82.63,clear sky,33.2833,134.15,Oota Ryokan
259,Luangwa,ZM,83.8,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
261,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
262,Sinnamary,GF,86.43,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
263,Puqi,CN,86.81,scattered clouds,29.7167,113.8833,Ramada Plaza Chibi
264,Ternate,ID,82.09,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
265,Boyabat,TR,83.1,few clouds,41.4689,34.7667,Kolaz Palas Otel
268,Faya,SA,77.11,light rain,18.3851,42.4509,املاك خالد الشعشوع
270,Anloga,GH,78.01,broken clouds,5.7947,0.8973,Pin Drop Hotel
272,Vung Tau,VN,81.61,broken clouds,10.346,107.0843,Seaside Resort
274,Westport,US,78.37,clear sky,41.1415,-73.3579,The Westport Inn
275,Sterling,US,78.19,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
277,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
279,Lorengau,PG,80.24,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
280,Puerto Carreno,CO,84.18,few clouds,6.189,-67.4859,Casa Hotel Victoria
281,La Macarena,CO,80.73,overcast clouds,2.1837,-73.7849,Casa Hotel Real
283,Coahuayana,MX,80.1,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
284,Hami,CN,89.67,overcast clouds,42.8,93.45,Laoyutang Resort
