City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
0,Castro,-24.7911,-50.0119,58.41,63,7,10.89,BR,clear sky
1,Bredasdorp,-34.5322,20.0403,58.35,57,69,13.24,ZA,broken clouds
2,Plettenberg Bay,-34.0527,23.3716,54.12,87,100,11.99,ZA,moderate rain
3,Ushuaia,-54.8,-68.3,37.06,56,0,5.75,AR,clear sky
4,Mataura,-46.1927,168.8643,37.63,96,80,3.2,NZ,broken clouds
5,Albany,42.6001,-73.9662,71.28,60,34,1.01,US,scattered clouds
6,Ilulissat,69.2167,-51.1,41.02,87,40,5.75,GL,scattered clouds
7,Gamba,-2.65,10.0,75.13,72,38,8.88,GA,scattered clouds
8,Vila Franca Do Campo,37.7167,-25.4333,79.21,70,24,5.35,PT,few clouds
9,Vaini,-21.2,-175.2,69.96,83,20,9.22,TO,few clouds
10,Akureyri,65.6835,-18.0878,53.53,76,75,8.05,IS,broken clouds
11,Cape Town,-33.9258,18.4232,63.37,57,40,9.22,ZA,scattered clouds
12,Puerto Ayora,-0.7393,-90.3518,75.16,94,100,7.0,EC,overcast clouds
13,Beringovskiy,63.05,179.3167,51.71,92,100,6.11,RU,light rain
14,Toamasina,-18.1667,49.3833,69.8,88,75,9.22,MG,light intensity shower rain
15,Hofn,64.2539,-15.2082,50.61,93,100,11.77,IS,overcast clouds
16,Koindu,8.4386,-10.3253,80.58,71,93,6.46,GN,light rain
17,New Norfolk,-42.7826,147.0587,46.71,84,85,1.66,AU,overcast clouds
18,Hasaki,35.7333,140.8333,81.28,85,99,23.13,JP,overcast clouds
19,Hermanus,-34.4187,19.2345,59.81,61,26,15.26,ZA,scattered clouds
20,Haines Junction,60.7522,-137.5108,51.75,87,99,1.14,CA,overcast clouds
21,Sitka,57.0531,-135.33,60.69,88,20,0.0,US,few clouds
22,Srednekolymsk,67.45,153.6833,49.35,76,59,8.43,RU,broken clouds
23,Santa Maria,-29.6842,-53.8069,65.5,55,0,6.91,BR,clear sky
24,Bluff,-46.6,168.3333,47.59,76,83,12.44,NZ,broken clouds
